Crop,ScientificName,Symbol,NuContAvailable,PlantPartHarvested,CropCategory,YieldUnit,AvYieldUnitWeight(lb),AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry),YieldUnitWeight(lb)_set,YieldUnitWeight(lb)_Bau,YieldUnitWeight(lb)_Joh,YieldUnitWeight(lb)_Roberts,YieldUnitWeight(lb)_WEEP,YieldUnitWeight(lb)_Men,YieldUnitWeight(lb)_Guy,YieldUnitWeight(lb)_Mc,YieldUnitWeight(lb)_Mah,YieldUnitWeight(lb)_Sha,YieldUnitWeight(lb)_Sch,YieldUnitWeight(lb)_Atu,YieldUnitWeight(lb)_Zim,YieldUnitWeight(lb)_Scu,YieldUnitWeight(lb)_John,YieldUnitWeight(lb)_Arc,DryMatter%_M-FF,DryMatter%_NAS,DryMatter%_F&L,DryMatter%_F&N,DryMatter%_Alb,DryMatter%_Est1,DryMatter%_Est2,DryMatter%_Est3,DryMatter%_Est4,DryMatter%_Est5,DryMatter%_Est6,DryMatter%_M&R,DryMatter%_M&L,DryMatter%_Sun,DryMatter%_Gro,DryMatter%_AgH8-9,DryMatter%_AgH8-12,DryMatter%_B788,AvDryMatter%,N%(dry)_NAS,N%(dry)_F&L,N%(dry)_F&N,N%(dry)_Swa,N%(dry)_Chapko,N%(dry)_Hill,N%(dry)_Bru,N%(dry)_AgH8-9,N%(dry)_AgH8-12,N%(dry)_B788,N%(dry)_M&L,N%(dry)_M-FF,N%(dry)_M&R,N%(dry)_Foster,N%(dry)_Rob1,N%(dry)_Rob2,N%(dry)_Coa,N%(dry)_And,N%(dry)_Gol1,N%(dry)_Gol2,N%(dry)_Wol,N%(dry)_Pete,N%(dry)_Col,N%(dry)_Alb,N%(dry)_Arc,N%(dry)_Bis,N%(dry)_Gar,N%(dry)_Heg,N%(dry)_Flo,N%(dry)_Feil,N%(dry)_Bre,N%(dry)_Burns,N%(dry)_Coc,P%(dry)_M-FF,P%(dry)_NAS,P%(dry)_F&L,P%(dry)_F&N,P%(dry)_AgH8-9,P%(dry)_AgH8-12,P%(dry)_B788,P%(dry)_M&L,P%(dry)_L&V,P%(dry)_Foster,P%(dry)_Rob1,P%(dry)_Rob2,P%(dry)_Coa,P%(dry)_And,P%(dry)_Gol1,P%(dry)_Gol2,P%(dry)_Sims,P%(dry)_Wol,P%(dry)_Pete,P%(dry)_Col,P%(dry)_Alb,P%(dry)_Arc,P%(dry)_Swa,P%(dry)_Rei,K%(dry)_M-FF,K%(dry)_NAS,K%(dry)_F&L,K%(dry)_F&N,K%(dry)_AgH8-9,K%(dry)_AgH8-12,K%(dry)_B788,K%(dry)_Foster,K%(dry)_Rob1,K%(dry)_Rob2,K%(dry)_Coa,K%(dry)_And,K%(dry)_Gol1,K%(dry)_Gol2,K%(dry)_Sims,K%(dry)_Wol,K%(dry)_Pete,K%(dry)_Col,K%(dry)_Alb,K%(dry)_Arc,K%(dry)_Swa,K%(dry)_Rei,Moisture%_M&R,Moisture%_M&L,Moisture%_Sun,Moisture%_Gro,gWater/100g_AgH8-9,gWater/100g_AgH8-12,gWater/100g_B788,Protein%(dry)_NAS,Protein%(dry)_F&L,Protein%(dry)_F&N,Protein%(dry)_Swa,Protein%(dry)_Chapko,Protein%(dry)_Hill,Protein%(dry)_Bru,Protein%(dry)_Bis,Protein%(dry)_Gar,Protein%(dry)_Heg,Protein%(dry)_Flo,Protein%(dry)_Feil,Protein%(dry)_Bre,Protein%(dry)_Burns,gProtein/100g(wet)_AgH8-9,gProtein/100g(wet)_AgH8-12,gProtein/100g(wet)_B788,Protein%(wet)_M&L,N%(wet)_M-FF,P%(wet)_M-FF,gP/100g(wet)_AgH8-9,gP/100g(wet)_AgH8-12,gP/100g(wet)_B788,P%(wet)_M&L,K%(wet)_M-FF,gK/100g(wet)_AgH8-9,gK/100g(wet)_AgH8-12,gK/100g(wet)_B788,
Cherimoya,Annona cherimola,ANCH9,"N,P",Fruit,Tree and fruit,lb of fruit,1,73.5,0.78490566,0.150943396,#DIV/0!,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,,,26.5,,,,,,,,0.78490566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.150943396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.5,,,,,,,,,,,,,,,,,1.3,,,,,,0.04,,,,,,,,
"Cherry (sour, red)",Prunus cerasus,PRCE,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,86.13,1.153568854,0.10814708,1.247296323,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.87,,,13.87,,,,,,,,1.153568854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10814708,,,,,,,,,,,,,,,,,,,,,,,,1.247296323,,,,,,,,,,,,,,,,,,,,,,86.13,,,,,,,,,,,,,,,,,1,,,,,,0.015,,,,,0.173,,,
"Clover-Alsike, for green chop",Trifolium hybridum,TRHY,"N,P,K",Aboveground biomass,Forage,ton,2000,77.2,2.8876,0.285681818,2.7,"2,000",,,,,,,,,,,,,,,,22,22.5,22.5,22,,,,,,,,25,,,,,,,22.8,2.896,2.896,2.896,,,,,,,,,3,2.75,,,,,,,,,,,,,,,,,,,,,0.272727273,0.29,0.29,0.29,,,,,,,,,,,,,,,,,,,,,,2.7,2.7,2.7,,,,,,,,,,,,,,,,,,,75,,,,,,,18.1,18.1,18.1,,,,,,,,,,,,,,,,0.66,0.06,,,,,,,,,
"Clover-Alsike, for green chop (full bloom)",Trifolium hybridum,TRHY,"N,P,K",Aboveground biomass,Forage,ton,2000,75.87,2.496063492,0.260777509,2.582372881,"2,000",,,,,,,,,,,,,,,,23.6,23.6,,,,,,,,,,,25.2,,,,,,24.13,2.512,,,,,,,,,,2.476190476,2.5,,,,,,,,,,,,,,,,,,,,,,0.254237288,0.29,,,,,,0.238095238,,,,,,,,,,,,,,,,,2.584745763,2.58,,,,,,,,,,,,,,,,,,,,,,74.8,,,,,,15.7,,,,,,,,,,,,,,,,,3.9,0.59,0.06,,,,0.06,0.61,,,,
"Clover-Alsike, for green chop (mid bloom)",Trifolium hybridum,TRHY,"N,P,K",Aboveground biomass,Forage,ton,2000,76.4,2.512,0.25,2.58,"2,000",,,,,,,,,,,,,,,,,23.6,,,,,,,,,,,,,,,,,23.6,2.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover-Alsike, for hay",Trifolium hybridum,TRHY,"N,P,K",Aboveground biomass,Forage,ton,2000,12.56,2.266845444,0.254679415,2.48116423,"2,000",,,,,,,,,,,,,,,,88.9,87.4,87.9,88,,,,,,,,85,,,,,,,87.44,2.272,2.208,2.272,,,,,,,,,2.182227222,2.4,,,,,,,,,,,,,,,,,,,,,0.25871766,0.26,0.25,0.25,,,,,,,,,,,,,,,,,,,,,2.744656918,2.74,2.22,2.22,,,,,,,,,,,,,,,,,,,15,,,,,,,14.2,13.8,14.2,,,,,,,,,,,,,,,,1.94,0.23,,,,,2.44,,,,
"Clover-Alsike, for hay (early bloom)",Trifolium hybridum,TRHY,N,Aboveground biomass,Forage,ton,2000,17.85,2.632,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,82.2,82.1,,,,,,,,,,,,,,,,82.15,2.64,2.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover-Alsike, for hay (full bloom)",Trifolium hybridum,TRHY,"N,P,K",Aboveground biomass,Forage,ton,2000,10.35,2.362247191,0.280898876,2.550561798,"2,000",,,,,,,,,,,,,,,,89,90.3,,,,,,,,,,,,,,,,,89.65,2.32,,,,,,,,,,,2.404494382,,,,,,,,,,,,,,,,,,,,,,0.280898876,,,,,,,,,,,,,,,,,,,,,,,,2.550561798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,,,,,,2.14,0.25,,,,,2.27,,,,
"Clover-Alsike, for hay (mid bloom)",Trifolium hybridum,TRHY,"N,P,K",Aboveground biomass,Forage,ton,2000,11,2.416,0.28,2.55,"2,000",,,,,,,,,,,,,,,,,89,89,,,,,,,,,,,,,,,,89,2.416,2.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.28,,,,,,,,,,,,,,,,,,,,,,,2.55,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover-Crimson, for green chop",Trifolium incarnatum,TRIN3,"N,P,K",Aboveground biomass,Forage,ton,2000,80.78,2.737579888,0.275356081,3.100862069,"2,000",,,,,,,,,,,,,,,,17.4,17.6,18.2,18,,,,,,,,25,19.1,,,,,,19.22,2.72,2.88,2.72,,,,,,,,2.596858639,2.75862069,2.75,,,,,,,,,,,,,,,,,,,,,0.287356322,0.29,0.3,0.29,,,,0.209424084,,,,,,,,,,,,,,,,,3.103448276,3.1,3.1,3.1,,,,,,,,,,,,,,,,,,,75,80.9,,,,,,17,18,17,,,,,,,,,,,,,,,3.1,0.48,0.05,,,,0.04,0.54,,,,
"Clover-Crimson, for green chop (late bloom)",Trifolium incarnatum,TRIN3,N,Aboveground biomass,Forage,ton,2000,84.1,2.816,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,15.9,,,,,,,,,,,,,,,,,15.9,2.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover-Crimson, for hay",Trifolium incarnatum,TRIN3,"N,P,K",Aboveground biomass,Forage,ton,2000,11.75,2.654096389,0.224392347,2.759329609,"2,000",,,,,,,,,,,,,,,,89.5,88.8,87.8,88,,,,,,,,85,90.4,,,,,,88.25,2.672,2.688,2.688,,,,,,,,2.690265487,2.536312849,2.65,,,,,,,,,,,,,,,,,,,,,0.268156425,0.27,0.22,0.22,,,,0.14380531,,,,,,,,,,,,,,,,,3.117318436,3.12,2.4,2.4,,,,,,,,,,,,,,,,,,,15,9.6,,,,,,16.7,16.8,16.8,,,,,,,,,,,,,,,15.2,2.27,0.24,,,,0.13,2.79,,,,
"Clover-Crimson, for hay (early bloom)",Trifolium incarnatum,TRIN3,N,Aboveground biomass,Forage,ton,2000,15.1,3.776,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,84.9,,,,,,,,,,,,,,,,,84.9,3.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover-Crimson, for hay (late bloom)",Trifolium incarnatum,TRIN3,N,Aboveground biomass,Forage,ton,2000,13.9,2.624,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,86.1,,,,,,,,,,,,,,,,,86.1,2.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover-Red + Grass, for hay","Trifolium pratense, Poaceae",TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,11.6,2.272,0.23,1.42,"2,000",,,,,,,,,,,,,,,,,88.1,88.7,,,,,,,,,,,,,,,,88.4,2.24,2.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.23,,,,,,,,,,,,,,,,,,,,,,,1.43,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover-Red + Grass, for hay (full bloom)","Trifolium pratense, Poaceae",TRPR2,N,Aboveground biomass,Forage,ton,2000,11.3,2.528,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,88.7,88.7,,,,,,,,,,,,,,,,88.7,2.528,2.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover-Red + Grass, for hay (mature)","Trifolium pratense, Poaceae",TRPR2,"N,P",Aboveground biomass,Forage,ton,2000,8.6,1.776,0.25,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,91.4,91.4,,,,,,,,,,,,,,,,91.4,1.776,1.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover-Red + Grass, for hay (mid bloom)","Trifolium pratense, Poaceae",TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,10.8,2.656,0.23,1.59,"2,000",,,,,,,,,,,,,,,,,89.2,89.2,,,,,,,,,,,,,,,,89.2,2.656,2.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.23,,,,,,,,,,,,,,,,,,,,,,,1.59,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover-Red + Timothy, for hay","Trifolium partense, Phleum pratense","TRPR2, PHPR3","P,K",Aboveground biomass,Forage,ton,2000,9.6,#DIV/0!,0.17,1.52,"2,000",,,,,,,,,,,,,,,,,90.4,,,,,,,,,,,,,,,,,90.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover-Red, for green chop",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,77.5,2.921061225,0.29372449,2.401632653,"2,000",,,,,,,,,,,,,,,,24.5,22.7,22.8,20,,,,,,,,,,,,,,,22.5,2.928,3.04,3.104,,,,,,,,,2.612244898,,,,,,,,,,,,,,,,,,,,,,0.244897959,0.26,0.29,0.38,,,,,,,,,,,,,,,,,,,,,2.326530612,2.46,2.33,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,19,19.4,,,,,,,,,,,,,,,,0.64,0.06,,,,,0.57,,,,
"Clover-Red, for green chop (early bloom)",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,80.15,3.104,0.38,2.49,"2,000",,,,,,,,,,,,,,,,,19.7,,20,,,,,,,,,,,,,,,19.85,3.104,,3.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,0.38,,,,,,,,,,,,,,,,,,,,,,2.49,,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover-Red, for green chop (full bloom)",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,73.58,2.374716484,0.284917582,1.964505495,"2,000",,,,,,,,,,,,,,,,27.3,27.6,26.2,26,,,,,,,,25,,,,,,,26.42,2.384,2.336,2.336,,,,,,,,,2.417582418,2.4,,,,,,,,,,,,,,,,,,,,,0.32967033,0.27,0.27,0.27,,,,,,,,,,,,,,,,,,,,,1.978021978,1.96,1.96,1.96,,,,,,,,,,,,,,,,,,,75,,,,,,,14.9,14.6,14.6,,,,,,,,,,,,,,,,0.66,0.09,,,,,0.54,,,,
"Clover-Red, for green chop (late vegetative)",Trifolium pratense,TRPR2,N,Aboveground biomass,Forage,ton,2000,75,3.4,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,25,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover-Red, for green chop (mid bloom)",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,74.27,2.424986301,0.284863014,1.98,"2,000",,,,,,,,,,,,,,,,,23.5,24.5,,,,,,,,,,29.2,,,,,,25.73,2.496,2.368,,,,,,,,,2.410958904,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,0.239726027,,,,,,,,,,,,,,,,,,,1.98,,,,,,,,,,,,,,,,,,,,,70.8,,,,,,15.6,14.8,,,,,,,,,,,,,,,,4.4,,,,,,0.07,,,,,
"Clover-Red, for hay",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,13.95,2.507601359,0.261625142,1.887157418,"2,000",,,,,,,,,,,,,,,,88.3,78,89.9,88,,,,,,,,,,,,,,,86.05,2.352,3.152,2.352,,,,,,,,,2.174405436,,,,,,,,,,,,,,,,,,,,,,0.226500566,0.23,0.34,0.25,,,,,,,,,,,,,,,,,,,,,1.868629672,1.87,2,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,19.7,14.7,,,,,,,,,,,,,,,,1.92,0.2,,,,,1.65,,,,
"Clover-Red, for hay (early bloom)",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,12.53,2.394049187,0.309455165,1.909551646,"2,000",,,,,,,,,,,,,,,,88.1,86.4,87.9,,,,,,,,,,,,,,,,87.47,2.32,2.592,,,,,,,,,,2.27014756,,,,,,,,,,,,,,,,,,,,,,0.238365494,0.37,0.32,,,,,,,,,,,,,,,,,,,,,,1.589103292,,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,16.2,,,,,,,,,,,,,,,,,2,0.21,,,,,1.4,,,,
"Clover-Red, for hay (full bloom)",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,13.55,2.42703689,0.249455165,1.859701097,"2,000",,,,,,,,,,,,,,,,88.1,86.1,86.6,,,,,,,,,85,,,,,,,86.45,2.704,2.384,,,,,,,,,,2.27014756,2.35,,,,,,,,,,,,,,,,,,,,,0.238365494,0.25,0.26,,,,,,,,,,,,,,,,,,,,,,1.589103292,1.85,2.14,,,,,,,,,,,,,,,,,,,,15,,,,,,,16.9,14.9,,,,,,,,,,,,,,,,,2,0.21,,,,,1.4,,,,
"Clover-Red, for hay (late vegetative)",Trifolium pratense,TRPR2,N,Aboveground biomass,Forage,ton,2000,15,3.35,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,85,,,,,,,,,,,,,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover-Red, for hay (mature)",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,8.8,1.936,0.21,1.7,"2,000",,,,,,,,,,,,,,,,,91.2,91.4,91,,,,,,,,,,,,,,,91.2,1.68,2.064,2.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.21,0.21,,,,,,,,,,,,,,,,,,,,,,1.7,1.7,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,12.9,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover-Red, for hay (mid bloom)",Trifolium pratense,TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,11.7,2.458049187,0.279455165,1.553034431,"2,000",,,,,,,,,,,,,,,,88.1,88.4,88.4,,,,,,,,,,,,,,,,88.3,2.496,2.608,,,,,,,,,,2.27014756,,,,,,,,,,,,,,,,,,,,,,0.238365494,0.29,0.31,,,,,,,,,,,,,,,,,,,,,,1.589103292,1.66,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,16.3,,,,,,,,,,,,,,,,,2,0.21,,,,,1.4,,,,
"Clover-Red, for seed",Trifolium pratense,TRPR2,"N,P",Seed,Forage,cwt,100,12.23,5.892571429,0.61,#DIV/0!,100,,,,,,,,,,,,,,,,87.5,,87.8,88,,,,,,,,,,,,,,,87.77,,5.856,5.856,,,,,,,,,5.965714286,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,36.6,,,,,,,,,,,,,,,,5.22,,,,,,,,,,
"Clover-White, for green chop",Trifolium repens,TRRE3,"N,P,K",Aboveground biomass,Forage,ton,2000,81.9,4.255685393,0.473904494,2.221207865,"2,000",,,,,,,,,,,,,,,,17.8,17.7,18.9,18,,,,,,,,,,,,,,,18.1,4.512,3.392,4.512,,,,,,,,,4.606741573,,,,,,,,,,,,,,,,,,,,,,0.505617978,0.51,0.37,0.51,,,,,,,,,,,,,,,,,,,,,2.134831461,2.13,2.48,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,28.2,21.2,28.2,,,,,,,,,,,,,,,,0.82,0.09,,,,,0.38,,,,
"Clover-White, for green chop (full bloom)",Trifolium repens,TRRE3,"N,P",Aboveground biomass,Forage,ton,2000,82.1,4.528,0.44,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,17.9,,,,,,,,,,,,,,,,,17.9,4.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover-White, for hay",Trifolium repens,TRRE3,"N,P,K",Aboveground biomass,Forage,ton,2000,9.73,3.089409091,0.352045455,2.25,"2,000",,,,,,,,,,,,,,,,88,90.7,92.4,90,,,,,,,,,,,,,,,90.28,3.008,3.728,3.008,,,,,,,,,2.613636364,,,,,,,,,,,,,,,,,,,,,,0.318181818,0.32,0.45,0.32,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,23.3,18.8,,,,,,,,,,,,,,,,2.3,0.28,,,,,,,,,
"Clover-White, for hay (full bloom)",Trifolium repens,TRRE3,N,Aboveground biomass,Forage,ton,2000,7.6,3.216,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,92.4,,,,,,,,,,,,,,,,,92.4,3.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover-White, for hay (late bloom)",Trifolium repens,TRRE3,N,Aboveground biomass,Forage,ton,2000,12.4,2.768,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,87.6,,,,,,,,,,,,,,,,,87.6,2.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover-White, for hay (mature)",Trifolium repens,TRRE3,N,Aboveground biomass,Forage,ton,2000,7.8,2.256,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,92.2,,,,,,,,,,,,,,,,,92.2,2.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover-White-Ladino type + Grass, for green chop","Trifolium repens, Poaceae",TRRE3,"N,P",Aboveground biomass,Forage,ton,2000,80,2.8,0.4,#DIV/0!,"2,000",,,,,,,,,,,,,,,,20,20,,,,,,,,,,,,,,,,,20,2.8,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,,,,,,,,,,,,,,,,,,0.56,0.08,,,,,,,,,
"Clover-White-Ladino type + Grass, for green chop (early bloom)","Trifolium repens, Poaceae",TRRE3,N,Aboveground biomass,Forage,ton,2000,80,2.448,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,20,2.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover-White-Ladino type + Grass, for hay","Trifolium repens, Poaceae",TRRE3,"N,P,K",Aboveground biomass,Forage,ton,2000,11.25,2.918278596,0.227587769,1.962627407,"2,000",,,,,,,,,,,,,,,,88.3,89.2,,,,,,,,,,,,,,,,,88.75,2.96,,,,,,,,,,,2.876557191,,,,,,,,,,,,,,,,,,,,,,0.215175538,0.24,,,,,,,,,,,,,,,,,,,,,,,1.925254813,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,,,,,,,,,,,,,,,,,2.54,0.19,,,,,1.7,,,,
"Clover-White-Ladino type + Grass, for hay (mature)","Trifolium repens, Poaceae",TRRE3,"N,P,K",Aboveground biomass,Forage,ton,2000,8.5,1.808,0.22,1.75,"2,000",,,,,,,,,,,,,,,,,91.5,,,,,,,,,,,,,,,,,91.5,1.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover-White-Ladino type + Timonth, for silage","Trifolimu repens, Phleum pratense","TRRE3, PHPR3","N,P,K",Aboveground biomass,Forage,ton,2000,70.6,3.168,0.2,2.22,"2,000",,,,,,,,,,,,,,,,,29.4,,,,,,,,,,,,,,,,,29.4,3.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover-White-Ladino type, for green chop",Trifolium repens,TRRE3,"N,P,K",Aboveground biomass,Forage,ton,2000,80.94,3.953580723,0.410421687,1.94936747,"2,000",,,,,,,,,,,,,,,,16.6,18,17.7,18,,,,,,,,25,,,,,,,19.06,3.952,3.888,3.952,,,,,,,,,3.975903615,4,,,,,,,,,,,,,,,,,,,,,0.421686747,0.42,0.38,0.42,,,,,,,,,,,,,,,,,,,,,1.86746988,1.87,2.19,1.87,,,,,,,,,,,,,,,,,,,75,,,,,,,24.7,24.3,24.7,,,,,,,,,,,,,,,,0.66,0.07,,,,,0.31,,,,
"Clover-White-Ladino type, for green chop (early bloom)",Trifolium repens,TRRE3,"P,K",Aboveground biomass,Forage,ton,2000,64.6,#DIV/0!,0.31,3.17,"2,000",,,,,,,,,,,,,,,,,35.4,,,,,,,,,,,,,,,,,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.31,,,,,,,,,,,,,,,,,,,,,,,3.17,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
